Capacity (mAh),Battery Health (%),Cycle Count,Voltage (V),Temperature (°C),Internal Resistance (mΩ),Last Charge Date,Status
3000,90,150,3.7,35,80,2024-11-25,Good
2500,85,250,3.8,32,100,2024-11-24,Fair
4000,95,120,4.0,30,70,2024-11-23,Excellent
4500,78,300,3.9,38,120,2024-11-22,Needs Replacement
3200,88,180,3.6,33,90,2024-11-21,Good
2800,82,220,3.7,31,110,2024-11-20,Fair
5000,97,100,4.1,28,60,2024-11-19,Excellent
4200,80,275,3.8,36,105,2024-11-18,Fair
3400,87,160,3.7,34,85,2024-11-17,Good
3100,83,230,3.6,30,100,2024-11-16,Fair
3600,92,140,3.9,29,75,2024-11-15,Good
3900,79,280,3.7,37,115,2024-11-14,Needs Replacement
4100,96,110,4.0,28,65,2024-11-13,Excellent
2700,81,240,3.8,32,95,2024-11-12,Fair
3500,89,170,3.7,31,90,2024-11-11,Good
3000,76,310,3.6,39,125,2024-11-10,Needs Replacement
4800,94,130,4.1,29,70,2024-11-09,Excellent
2900,86,200,3.7,33,100,2024-11-08,Good
4300,82,260,3.8,35,95,2024-11-07,Fair
3100,91,150,3.9,30,80,2024-11-06,Good
